DATE (UTC),Attributes,Values
,Usage Statistics - AM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
48:02.1,Auto Lane Change State,"ALC_UNAVAILABLE_SONICS_INVALID, 2.0"
48:02.1,Driver Seat Occupancy Sensor,"DRIVER_NOT_PRESENT, 0.0"
,Key Fob - Detected Location,"INSIDE, 2.0"
48:02.1,Key Fob - Detected Location,"UNKNOWN, 3.0"
48:02.2,Driver Seat Occupancy Sensor,"DRIVER_PRESENT, 1.0"
48:02.3,Cruise Control State,"CRS_STATE_STANDBY, 1.0"
,Cruise Control Set Speed,34
48:02.4,Auto Lane Change State,"ALC_ABORT_OTHER_REASON, 20.0"
48:02.4,Vehicle Speed (mph) (Positive is forward direction),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),21.79
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0.79
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.02
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
48:02.5,Auto Lane Change State,"ALC_UNAVAILABLE_SONICS_INVALID, 2.0"
48:02.8,Auto Lane Change State,"ALC_ABORT_OTHER_REASON, 20.0"
48:02.8,Gear Selector Status,"N_UP, 2.0"
48:02.9,Auto Lane Change State,"ALC_UNAVAILABLE_SONICS_INVALID, 2.0"
48:02.9,Gear Selector Status,"R, 1.0"
48:02.9,Gear Selection,"DI_GEAR_R, 2.0"
48:02.9,Cruise Control Set Speed,0
48:02.9,Auto Lane Change State,"ALC_ABORT_OTHER_REASON, 20.0"
48:03.0,Steering Torque Sensor (Nm) (Positive indicates right turn),0.13
,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Longitudinal Acceleration (m/s^2),0.75
,Steering Angle Sensor (degrees) (Positive indicates right turn),21.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Vehicle Speed (mph) (Positive is forward direction),0
,Lateral Acceleration (m/s^2),-0.25
48:03.1,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:03.1,Odometer (Miles),26690.2
48:03.1,Usage Statistics - AM Radio usage (minutes),0
,Usage Statistics - XM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Right Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Usage Statistics - DAB Radio usage (minutes),0
,UI Setting - Range Mode,0
48:03.2,Auto Lane Change State,"ALC_UNAVAILABLE_VEHICLE_SPEED, 5.0"
48:03.2,Gear Selector Status,"IDLE, 0.0"
48:03.2,Accelerator Pedal Position Sensor A (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.11
,Longitudinal Acceleration (m/s^2),0.79
,Accelerator Pedal Position Sensor B (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),21.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Lateral Acceleration (m/s^2),-0.2
,Vehicle Speed (mph) (Positive is forward direction),0
48:03.3,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:03.3,Odometer (Miles),26690.2
48:03.3,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
,Usage Statistics - DAB Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Range Mode,0
48:03.4,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Accelerator Pedal Position Sensor A (%),0
,Longitudinal Acceleration (m/s^2),0.79
,Accelerator Pedal Position Sensor B (%),0
,Vehicle Speed (mph) (Positive is forward direction),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),21.7
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.22
,Lateral Acceleration (m/s^2),-0.2
48:03.5,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:03.5,Odometer (Miles),26690.2
48:03.6,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,"UI Setting - Cabin Temperature, Right Side",15
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,UI Setting - Range Mode,0
48:03.6,Gear Selector Status,"IDLE, 0.0"
48:03.6,Steering Angle Sensor (degrees) (Positive indicates right turn),21
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.81
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.79
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),-0.2
,Vehicle Speed (mph) (Positive is forward direction),0
48:03.6,Auto Lane Change State,"ALC_UNAVAILABLE_VEHICLE_SPEED, 5.0"
48:03.8,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
48:04.0,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Not_Applied, 1.0"
48:04.0,Brake Pedal Application,"OFF, 0.0"
48:04.4,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.85
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.7
,Vehicle Speed (mph) (Positive is forward direction),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),-2.29
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position Sensor A (%),0
,Lateral Acceleration (m/s^2),-0.2
48:05.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),5.2
48:05.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),4.4
48:05.5,Accelerator Pedal Position Sensor B (%),5.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Longitudinal Acceleration (m/s^2),0.39
,Vehicle Speed (mph) (Positive is forward direction),0
,Accelerator Pedal Position Sensor A (%),5.59
,Lateral Acceleration (m/s^2),-0.14
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.61
,Steering Angle Sensor (degrees) (Positive indicates right turn),3.09
48:06.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6
48:06.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6
48:06.5,Steering Angle Sensor (degrees) (Positive indicates right turn),19.7
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Lateral Acceleration (m/s^2),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.79
,Vehicle Speed (mph) (Positive is forward direction),-0.94
,Accelerator Pedal Position Sensor B (%),5.2
,Accelerator Pedal Position Sensor A (%),5.59
,Longitudinal Acceleration (m/s^2),0.64
48:06.5,Accelerator Pedal Position Sensor A (%),5.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.79
,Lateral Acceleration (m/s^2),-0.2
,Vehicle Speed (mph) (Positive is forward direction),-0.94
,Steering Angle Sensor (degrees) (Positive indicates right turn),19.7
,Accelerator Pedal Position Sensor B (%),5.2
,Longitudinal Acceleration (m/s^2),0.64
48:06.6,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:06.6,Odometer (Miles),26690.2
48:06.7,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,UI Setting - Range Mode,0
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
48:07.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6.4
48:07.4,Accelerator Pedal Position Sensor A (%),6.8
,Longitudinal Acceleration (m/s^2),0.64
,Lateral Acceleration (m/s^2),-0.14
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Steering Angle Sensor (degrees) (Positive indicates right turn),38.29
,Vehicle Speed (mph) (Positive is forward direction),-1.25
,Accelerator Pedal Position Sensor B (%),6.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.26
48:08.0,Vehicle Speed (mph) (Positive is forward direction),-1.54
,Longitudinal Acceleration (m/s^2),0.54
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.42
,Steering Angle Sensor (degrees) (Positive indicates right turn),42.9
,Accelerator Pedal Position Sensor A (%),7.2
,Accelerator Pedal Position Sensor B (%),6.8
,Lateral Acceleration (m/s^2),-0.14
48:08.1,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:08.1,Odometer (Miles),26690.2
48:08.1,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Range Mode,0
,Usage Statistics - AM Radio usage (minutes),0
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Mode,"MANUAL, 1.0"
,UI Setting - Suspension Lowering Speed,0
,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
48:08.2,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Longitudinal Acceleration (m/s^2),0.45
,Vehicle Speed (mph) (Positive is forward direction),-1.64
,Lateral Acceleration (m/s^2),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.32
,Accelerator Pedal Position Sensor B (%),6.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),44.5
,Accelerator Pedal Position Sensor A (%),7.2
48:08.2,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:08.3,Odometer (Miles),26690.2
48:08.3,"UI Setting - Cabin Temperature, Right Side",15
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,UI Setting - Range Mode,0
,Air Conditioning - On/Off,"ON, 1.0"
,UI Setting - Suspension Lowering Speed,0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Usage Statistics - FM Radio usage (minutes),0
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
48:08.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),7.2
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6.8
48:08.5,Steering Angle Sensor (degrees) (Positive indicates right turn),47.29
,Lateral Acceleration (m/s^2),-0.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Vehicle Speed (mph) (Positive is forward direction),-1.89
,Accelerator Pedal Position Sensor B (%),6.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.25
,Longitudinal Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),7.2
48:09.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),8.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),9.19
48:09.5,Steering Torque Sensor (Nm) (Positive indicates right turn),2.62
,Steering Angle Sensor (degrees) (Positive indicates right turn),109.29
,Longitudinal Acceleration (m/s^2),0.85
,Vehicle Speed (mph) (Positive is forward direction),-1.35
,Lateral Acceleration (m/s^2),-0.2
,Accelerator Pedal Position Sensor A (%),10.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),10.8
,Accelerator Pedal Position Sensor B (%),10
48:10.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),13.6
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),13.19
48:10.4,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),13.6
,Longitudinal Acceleration (m/s^2),0.04
,Vehicle Speed (mph) (Positive is forward direction),-1.54
,Accelerator Pedal Position Sensor B (%),12.8
,Accelerator Pedal Position Sensor A (%),13.19
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.1
,Steering Angle Sensor (degrees) (Positive indicates right turn),210.89
,Lateral Acceleration (m/s^2),-0.1
48:11.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),13.19
48:11.4,Steering Torque Sensor (Nm) (Positive indicates right turn),2.85
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),4.4
,Steering Angle Sensor (degrees) (Positive indicates right turn),295.39
,Accelerator Pedal Position Sensor B (%),2.79
,Lateral Acceleration (m/s^2),-0.39
,Vehicle Speed (mph) (Positive is forward direction),-2
,Accelerator Pedal Position Sensor A (%),3.6
,Longitudinal Acceleration (m/s^2),0.39
48:12.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),7.59
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),8
48:12.4,Longitudinal Acceleration (m/s^2),0
,Lateral Acceleration (m/s^2),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.53
,Accelerator Pedal Position Sensor B (%),8.4
,Steering Angle Sensor (degrees) (Positive indicates right turn),346.29
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),9.19
,Vehicle Speed (mph) (Positive is forward direction),-1.44
,Accelerator Pedal Position Sensor A (%),8.8
48:13.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),12
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),12.4
48:13.4,Steering Torque Sensor (Nm) (Positive indicates right turn),3.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12.4
,Longitudinal Acceleration (m/s^2),-0.2
,Lateral Acceleration (m/s^2),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),407
,Vehicle Speed (mph) (Positive is forward direction),-1.64
,Accelerator Pedal Position Sensor A (%),12
,Accelerator Pedal Position Sensor B (%),11.6
48:14.4,Accelerator Pedal Position Sensor B (%),11.6
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.43
,Lateral Acceleration (m/s^2),-0.14
,Accelerator Pedal Position Sensor A (%),12
,Steering Angle Sensor (degrees) (Positive indicates right turn),417.7
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12.4
,Vehicle Speed (mph) (Positive is forward direction),-2.39
,Longitudinal Acceleration (m/s^2),-0.45
48:15.2,Auto Lane Change State,"ALC_ABORT_OTHER_REASON, 20.0"
48:15.4,Accelerator Pedal Position Sensor A (%),0
,Accelerator Pedal Position Sensor B (%),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),416.5
,Longitudinal Acceleration (m/s^2),0.25
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.51
,Lateral Acceleration (m/s^2),-0.85
,Vehicle Speed (mph) (Positive is forward direction),-2.89
48:15.7,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Driver_applying_brakes, 2.0"
48:15.9,Brake Pedal Application,"ON, 1.0"
48:16.3,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),0
48:16.3,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),0
48:16.4,Vehicle Speed (mph) (Positive is forward direction),-0.94
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),1.6
,Accelerator Pedal Position Sensor B (%),0
,Lateral Acceleration (m/s^2),-1.1
,Steering Angle Sensor (degrees) (Positive indicates right turn),414.1
,Accelerator Pedal Position Sensor A (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.92
48:16.8,Gear Selector Status,"N_DOWN, 4.0"
48:16.9,Gear Selector Status,"D, 8.0"
48:17.1,Gear Selector Status,"IDLE, 0.0"
48:17.2,Gear Selection,"DI_GEAR_D, 4.0"
48:17.2,Brake Pedal Application,"OFF, 0.0"
48:17.2,Cruise Control Set Speed,34
48:17.3,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Not_Applied, 1.0"
48:17.3,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.94
,Accelerator Pedal Position Sensor A (%),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),363.39
,Lateral Acceleration (m/s^2),-0.25
,Accelerator Pedal Position Sensor B (%),0
,Vehicle Speed (mph) (Positive is forward direction),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Longitudinal Acceleration (m/s^2),0.5
48:17.4,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
48:17.4,Odometer (Miles),26690.2
48:17.5,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,Usage Statistics - XM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,Usage Statistics - FM Radio usage (minutes),0
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,"UI Setting - Cabin Temperature, Left Side",15
,UI Setting - Suspension Lowering Speed,0
,Usage Statistics - AM Radio usage (minutes),0
,UI Setting - Range Mode,0
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Mode,"MANUAL, 1.0"
,Air Conditioning - Manual Airflow Mode,"MANUAL, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,"UI Setting - Cabin Temperature, Right Side",15
48:17.5,Auto Lane Change State,"ALC_UNAVAILABLE_VEHICLE_SPEED, 5.0"
